,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Method,Data Type,Region
216,Prediction model of forest fire area based on the improved Extreme Gradient Boosting,C. Ran; L. Fang,"Hohhot, Inner Mongolia Autonomous Region, Inner Mongolia University of Technology, China; Hohhot, Inner Mongolia Autonomous Region, Inner Mongolia University of Technology, China",2021 2nd International Conference on Computer Communication and Network Security (CCNS),15-Oct-21,2021,,,16,19,"The key state-owned forest areas in the Greater Khingan Mountains of Inner Mongolia are areas with a high incidence of forest fires. Accurate prediction of forest fire is necessary for forest fire prevention and effective control. This paper uses satellite fire and meteorological data in the Greater Khingan Mountains of Inner Mongolia as the experimental data set, and uses geographic information system software for data preprocessing. Temperature, air pressure, wind speed, elevation, etc. are selected as explanatory variables. The Extreme Gradient Boosting (XGBoost) is proposed to predicts the area of forest fire in the study area. Bayesian parameter adjustment method is used in the modeling process. The results show that the model is superior to traditional regression algorithms in terms of error parameters, training speed, and prediction accuracy.",,978-1-6654-2711-1,10.1109/CCNS53852.2021.00011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9565666,Fire prediction;Extreme Gradient Boosting;Bayesian parameter tuning;Machine learning,Training;Satellites;Computational modeling;Atmospheric modeling;Wind speed;Forestry;Predictive models,,3.0,,7.0,IEEE,15-Oct-21,,,IEEE,IEEE Conferences,"['remote sensing', 'simulation']",['weather data'],[]
217,Emissivity Based Indices for Drought and Forest Fire,G. Masiello; C. Serio; S. Venafra; A. Cersosimo; P. Mastro; F. Falabella; P. Pasquariello,"School of Engineering, University of Basilicata, Potenza, Italy; School of Engineering, University of Basilicata, Potenza, Italy; School of Engineering, University of Basilicata, Potenza, Italy; School of Engineering, University of Basilicata, Potenza, Italy; School of Engineering, University of Basilicata, Potenza, Italy; School of Engineering, University of Basilicata, Potenza, Italy; School of Engineering, University of Basilicata, Potenza, Italy",2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,12-Oct-21,2021,,,930,933,"The present paper aims to illustrate new indices of vegetation-soil dryness based on the surface emissivity complemented with atmospheric water vapor mixing ratio or related parameters, such as the dew point temperature. The indices are based on satellite measurements and they have been built using the hyperspectral infrared sensor IASI (Infrared Atmospheric Sounder Interfemoter) flying onboard the European Meteorological Platforms (MetOp). With the IASI instrument, we can retrieve simultaneously the surface emissivity and temperature, and thermo-dynamical parameters of air, such as temperature and water vapor mixing ratio profiles. Infrared surface emissivity (ε) is more closely related to surface type and coverage concerning the commonly used normalized differential vegetation index (or NDVI). By properly using surface emissivity in the infrared we defined a set of channels that are particularly sensitive to bare soil, green and senescent vegetation. IASI capability to sense the thermodynamic state of the atmosphere enables to retrieve both surface temperature (Ts) and dew point temperature (Td) close to the surface. The difference between these two quantities (Ts-Ts) is a direct measure of the hydric stress at the surface. Emissivity indices complemented with the last one, obtained from the same measurements, enable the individuating region to be subject to a risk of drought, hence and forest fire, and allow us to overcome the problem of lacking space and temporal consistency. We applied this methodology to the region of Balgarska Polyana in southern Bulgaria which was hit by intense fires in August 2016.",2153-7003,978-1-6654-0369-6,10.1109/IGARSS47720.2021.9553777,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553777,Emissivity;Vegetation stress;Soil Water Stress;Infrared;Satellite,Temperature measurement;Temperature sensors;Thermodynamics;Atmospheric measurements;Soil measurements;Vegetation mapping;Forestry,,3.0,,12.0,IEEE,12-Oct-21,,,IEEE,IEEE Conferences,['remote sensing'],['weather data'],[]
218,Hotspot Classification for Forest Fire Prediction using C5.0 Algorithm,A. Nurkholis; Styawati; D. Alita; A. Sucipto; M. Chanafy; Z. Amalia,"Informatics, Teknokrat Indonesia University, Bandar Lampung, Indonesia; Information Systems, Teknokrat Indonesia University, Bandar Lampung, Indonesia; Informatics, Teknokrat Indonesia University, Bandar Lampung, Indonesia; Information Technology, Teknokrat Indonesia University, Bandar Lampung, Indonesia; Information Technology, Teknokrat Indonesia University, Bandar Lampung, Indonesia; Information Technology, Teknokrat Indonesia University, Bandar Lampung, Indonesia",2021 International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA),04-Feb-22,2021,,,12,16,"Forest and land fires impact the destruction of ecosystems and destroy flora and fauna. Forest fires haze can also disrupt the transportation sector, especially aviation transportation. Forest fire is a recurring disaster problem in Indonesia, especially on Sumatra island. That requires solutions to overcome it, one of which is the monitoring hotspot. A hotspot is an object on the earth's surface represented in a point with certain coordinates that have relatively higher temperatures than its surrounding areas. This study classified hotspots using the C5.0 algorithm to generate forest fire prediction model. The dataset is divided into two categories, namely the explanatory factors representing four region characteristics (cities, river, road, and land cover) and three climate data (rainfall, temperature, and wind speed), and the target class representing the hotspot class (true/false) in the study area, namely Indragiri Hulu Regency, Riau Province, Indonesia. The result is forest fire prediction model that obtained an accuracy of 98.47% on training data, while on test data of 98.68%. The resulting rules are 80 rules excluding three attributes, river, road, and wind speed. The rules can be used as information on preventing forest fires based on the characteristics of the land and the weather of an area.",,978-1-6654-1777-8,10.1109/ICICyTA53712.2021.9689085,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9689085,C5.0 algorithm;classification;forest fire;hotspot,Wind speed;Roads;Transportation;Training data;Forestry;Predictive models;Prediction algorithms,,3.0,,23.0,IEEE,04-Feb-22,,,IEEE,IEEE Conferences,[],['weather data'],['Asia']
219,Fire Danger Assessment Based on the Improved Fire Weather Index,N. Kussul; B. Yailymov; A. Shelestov; H. Yailymova,"National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine; Space Research Institute NASU-SSAU, Kyiv, Ukraine; National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine; National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine",IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,28-Sep-22,2022,,,1584,1587,"This paper analyzes the problem of fire danger assessment and identifies the necessary sources and characteristics of satellite, ground and statistical data for the new approach of fire danger assessment. Modern information systems for fire danger assessment and fire monitoring using satellite and weather data are considered. The fire danger assessment method has been adapted for all types of land cover in Ukraine, which previously was successfully used in the Canadian methodology for determining the Fire Weather Index (FWI).",2153-7003,978-1-6654-2792-0,10.1109/IGARSS46834.2022.9884378,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9884378,fire monitoring;FWI;satellite data;information technology;weather data,Satellites;Geoscience and remote sensing;Indexes;Monitoring;Meteorology;Information systems,,3.0,,15.0,IEEE,28-Sep-22,,,IEEE,IEEE Conferences,['remote sensing'],['weather data'],[]
220,Forecasting of Fires Hotspot in Tropical Region Using LSTM Algorithm Based on Satellite Data,E. A. Kadir; H. T. Kung; S. L. Rosa; A. Sabot; M. Othman; M. Ting,"Department of Informatics Engineering, Universitas Islam Riau, Pekanbaru, Indonesia; Department of Computer Science, Harvard University, Cambridge, MA, USA; Department of Informatics Engineering, Universitas Islam Riau, Pekanbaru, Indonesia; Department of Computer Science, Harvard University, Cambridge, MA, USA; Department of Applied Mathematics, Universiti Teknologi Petronas, Perak, Malaysia; Department of Computer Science, Harvard University, Cambridge, MA, USA",2022 IEEE Region 10 Symposium (TENSYMP),29-Aug-22,2022,,,1,7,"Raising of temperature due to global warming impacted to the number of fires hotspot globally, in tropical region some of the places a high risk such as wildfire. Fire in Indonesia is one of the big disasters because of forestry region and peat land that highly risk to wildfire especially in dry season. This research aims to do a forecasting number of fires hotspot in future time based on training data collected in previous years. Long Short-Term Memory (LSTM) algorithm applied in this forecasting, the advantages of LSTM model to forecast a timeseries data make the high prediction accuracy. Fires hotspot data was collected since year 2010 to 2021 with total number of datasets more than 700,000 hotspot and forecast for the future year 2022. Collected datasets analyzed use LSTM model divided into two classification which are training and test data with 70% and 30% respectively. Results shows a similar pattern of forecasting fires hotspot in 2022 compared into previous last 2 years which 2021 and 2020. Furthermore, to proof proposed algorithm is working fine then a forecast number of fire hotspot for year 2021 have been done which compared actual and forecasting data and percentage of error 4.56%. LSTM Algorithm is one of the models suitable to use in data forecasting in high volume time series data.",2642-6102,978-1-6654-6658-5,10.1109/TENSYMP54529.2022.9864407,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9864407,Fires Hotspsot;Forecasting;LSTM;Tropical Region,Training;Analytical models;Satellites;Time series analysis;Fires;Training data;Predictive models,,3.0,,23.0,IEEE,29-Aug-22,,,IEEE,IEEE Conferences,['machine learning'],['weather data'],"['Asia', 'Global']"
230,Analysis of Wildfire Visualization Systems for Research and Training: Are They Up for the Challenge of the Current State of Wildfires?,C. A. T. Cortes; S. Thurow; A. Ong; J. J. Sharples; T. Bednarz; G. Stevens; D. D. Favero,"iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia; iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia; iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia; School of Science, The University of New South Wales, Canberra, ACT, Australia; NVIDIA Corporation, Sydney, NSW, Australia; School of Art & Design, The University of New South Wales, Paddington, NSW, Australia; iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia",IEEE Transactions on Visualization and Computer Graphics,27-Jun-24,2024,30,7.0,4285,4303,"Wildfires affect many regions across the world. The accelerated progression of global warming has amplified their frequency and scale, deepening their impact on human life, the economy, and the environment. The temperature rise has been driving wildfires to behave unpredictably compared to those previously observed, challenging researchers and fire management agencies to understand the factors behind this behavioral change. Furthermore, this change has rendered fire personnel training outdated and lost its ability to adequately prepare personnel to respond to these new fires. Immersive visualization can play a key role in tackling the growing issue of wildfires. Therefore, this survey reviews various studies that use immersive and non-immersive data visualization techniques to depict wildfire behavior and train first responders and planners. This paper identifies the most useful characteristics of these systems. While these studies support knowledge creation for certain situations, there is still scope to comprehensively improve immersive systems to address the unforeseen dynamics of wildfires.",1941-0506,,10.1109/TVCG.2023.3258440,Australian Research Council's Laureate(grant numbers:FL200100004);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076255,Immersive wildfire training;immersive wildfire visualization;modelling;simulation;wildfire;wildfire visualization,Data visualization;Behavioral sciences;Training;Personnel;Australia;Mathematical models;Climate change;Wildfires,,3.0,,186.0,IEEE,17-Mar-23,,,IEEE,IEEE Journals,[],['weather data'],['Global']
232,Quasi Second-Order Stochastic Dominance Model for Balancing Wildfire Risks and Power Outages due to Proactive Public Safety De-Energizations,J. Su; S. Mehrani; P. Dehghanian; M. A. Lejeune,"Department of Electrical and Computer Engineering, George Washington University, Washington, DC, USA; Department of Information Technology and Operations Management, Florida Atlantic University, Boca Raton, FL, USA; Department of Electrical and Computer Engineering, George Washington University, Washington, DC, USA; Department of Decision Sciences, George Washington University, Washington, DC, USA",IEEE Transactions on Power Systems,23-Feb-24,2024,39,2.0,2528,2542,"Faults on overhead power line infrastructures in electric power distribution systems (DSs) can potentially ignite catastrophic wildfires, especially in areas exposed to high wind regimes, low humidity, and dense vegetation. The common practice adopted by electric utilities to build resilience against such electrically-induced wildfires is called public-safety power-shutoff (PSPS): strategies to intentionally and proactively de-energize power line infrastructures to prevent wildfire risks. Using a quasi second-order stochastic dominance (Q-SSD) measure, this article proposes an optimization model to generate an optimal PSPS plan which mitigates the risk of costly wildfires while keeping the intentional power outages minimal. This objective is achieved by the strategic deployment of transportable energy backup technologies in the DS, i.e., mobile power sources (MPSs). The proposed model is a stochastic mixed-integer nonlinear programming (S-MINLP) capturing the uncertainties in wildfire consequences under different weather realizations. We derive a tractable linearization procedure to reformulate the S-MINLP model as an equivalent mixed-integer linear problem. Numerical studies on the IEEE 33-node test system demonstrate the efficiency of the resulting PSPS actions in balancing the wildfire risks and the power outage consequences, and highlight the promising performance of the proposed modeling approach compared to the state-of-the-art and benchmark formulations.",1558-0679,,10.1109/TPWRS.2023.3289788,"National Science Foundation(grant numbers:ECCS-2114100,RISE-2220626); Office of Naval Research(grant numbers:N00014-22-1-2649);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10164135,Mobile power sources (MPS);proactive de-energization;power outages;public-safety power-shutoff (PSPS);quasi second-order stochastic dominance (Q-SSD);wildfire,Fires;Power system reliability;Stochastic processes;Optimization;Ignition;Costs;Substations,,3.0,,41.0,IEEE,27-Jun-23,,,IEEE,IEEE Journals,"['simulation', 'optimization']",['weather data'],[]
241,A Study on Automated Detection of Surface and Sub-Surface Coal Seam Fires Using Isolation Forest from Landsat 8 OLI/TIRS Images,J. Mukherjee,"Computer Science and Engineering, Birla Institute of Technology, Mesra, India",IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,28-Sep-22,2022,,,5512,5515,"Coal seam fire (CSF) affects various social, economical, and environmental aspects. Surface and sub-surface CSF are detected in the past by studying the anomalies of land surface temperature patterns. Most of them use manual observations and thresholds to separate CSF. Such techniques are also susceptible to other regions, which have high temperature and high mineral content. The proposed work presents a novel technique to detect surface and sub-surface CSF by treating them as outliers. It provides a multi-level anomaly detection technique using isolation forest, which is robust to the presence of other high temperature and high mineral content regions over the seasons.",2153-7003,978-1-6654-2792-0,10.1109/IGARSS46834.2022.9883726,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9883726,Land Surface Temperature;Coal Seam Fire;Isolation Forest;Landsat 8,Temperature sensors;Land surface;Forestry;Manuals;Coal;Land surface temperature;Minerals,,3.0,,12.0,IEEE,28-Sep-22,,,IEEE,IEEE Conferences,[],['weather data'],[]
245,"Wildfire Risk Prediction and Detection using Machine Learning in San Diego, California",A. Malik; N. Jalin; S. Rani; P. Singhal; S. Jain; J. Gao,"Department of Applied Data Science, San Jose State University, San Jose, United States; Department of Computer Engineering, San Jose State University, San Jose, United States; Department of Computer Engineering, San Jose State University, San Jose, United States; Department of Computer Engineering, San Jose State University, San Jose, United States; Department of Computer Engineering, San Jose State University, San Jose, United States; Department of Computer Engineering, San Jose State University, San Jose, United States","2021 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/IOP/SCI)",18-Nov-21,2021,,,622,629,"Wildfires are the most deadly and dangerous accidents across the United States, especially in California. Many lives are lost, and billions of dollars’ worth of property damages occur in wildfire every year. Wildfires are fueled and accelerated by several different factors, such as weather, climate, vegetation types, land cover, and human activities. This research aims to develop a machine learning and big data-based fire risk prediction model considering the different geographical factors outlined above. We propose a systematic way to make fire risk prediction and detection models that analyzes satellite data, weather data, and historical fire data to predict fire. We got an accuracy of 100% using ensemble model and 93% using Faster R-CNN for wildfire risk prediction and fire detection, respectively, using machine learning models.",,978-1-6654-1236-0,10.1109/SWC50871.2021.00092,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9604370,wildfire;machine learning;remote sensing;re-enforcement learning,Technological innovation;Satellites;Systematics;Smart cities;Fires;Vegetation mapping;Machine learning,,2.0,,23.0,IEEE,18-Nov-21,,,IEEE,IEEE Conferences,"['machine learning', 'remote sensing']","['satellite data', 'weather data', 'fire data']",['USA']
246,The examination of land products from GCOM-C1/SGLI,Y. Honda; M. Moriyama; Y. Ono; K. Kajiwara; S. Tanigawa,"Center for Environmental Remote Sensing (CEReS), Chiba University/JST-SORST, Chiba, JAPAN; Nagasaki University, Nagasaki, JAPAN; Earth Observation Research Center (EORC), Japan Aerospace Exploration Agency (JAXA), Ibaraki, JAPAN; Center for Environmental Remote Sensing (CEReS), Chiba University/JST-SORST, Chiba, JAPAN; Center for Environmental Remote Sensing (CEReS), Chiba University/JST-SORST, Chiba, JAPAN",2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),12-Nov-15,2015,,,5099,5102,"The Assessment Report of the Intergovernmental Panel on Climate Change (IPCC) concluded that many collective observations gave a aspect of a global warming and other changes in the climate system. It is very important to understand this process accurately, and to construct the model by whom an environmental change is accurately forecast. Future earth observation using satellite data should monitor global climate change, and should contribute to social benefits. Especially, human activities has given the big impacts to earth environment. This is a very complex affair, and nature itself also impacts the clouds, namely the seasonal variations. JAXA (former NASDA) has the plan of the Global Change Observation Mission (GCOM) formonitoring of global environmental change. SGLI (Second Generation GLI) onboard GCOM-C 1 (Climate) satellite, which is one of this mission, is an optical sensor from Near-UV to TIR. SGLI can provide the various high accuracy products of aerosol, cloud information, various biophysical parameters (Biomass, Land Cover, Albedo, NPP, Water Stressed Vegetation, LST, etc.), coastal information (CDOM, SS, PAR, CHL, SST, etc.), and cryospheric information (Albedo, Snow/Ice Cover, NDII, Sea ice type, Snow Grain Size, NDSI, Snow Surface Temperature, etc.). This paper shows the introduction of the unique aspects and characteristics of the next generation satellite sensor, SGLI/GCOM-C, and shows the preliminary research for this sensor.",2153-7003,978-1-4799-7929-5,10.1109/IGARSS.2015.7326980,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7326980,,Vegetation mapping;Ocean temperature;Clouds;Snow;Climate change;Satellites,,2.0,,,IEEE,12-Nov-15,,,IEEE,IEEE Conferences,['remote sensing'],"['satellite data', 'weather data']",['Global']
248,Assessment of Fuel and Wind Drivers of Fire Risk in Protected Mountainous Grassland of South Africa,K. Adepoju; S. Adelabu,"Department of Geography, University of The Free State, Phuthaditjhaba, South Africa; Department of Geography, University of The Free State, Phuthaditjhaba, South Africa",IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,14-Nov-19,2019,,,867,870,"In this study, we used the Maxent predictive model to investigate the risk of veldt fire occurrence based on historical fire data, climatic and non-climatic drivers in the Golden Gate highland National Park (GGHNP), South Africa during the 2011-2014 periods. Results indicate that the highest fire risk occurred in the eastern and southwestern regions of the park, in particular the grass dominated region at middle altitude and along the northeast facing slopes with moderate precipitation. Rainfall contributed most to the model performance, followed by elevation, and temperature respectively. The predicted model performed well in terms of accuracy and average AUC and correlation values of 0.926 and 0.74 respectively for the validation sample. The higher contribution of climatic and topographic factors to fire occurrence suggested that wind driven fires has more effect than convective fuel related fires in the park. The results of this study can contribute to improved quantitative assessment and management of early warning and forecasting for fire risk management in the park.",2153-7003,978-1-5386-9154-0,10.1109/IGARSS.2019.8900100,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8900100,Mountainous park;fire;fuel;Maxent;Climate;Fire;mountain;topography,Predictive models;Biological system modeling;Ocean temperature;Fuels;Temperature distribution;Forestry;Meteorology,,2.0,,27.0,IEEE,14-Nov-19,,,IEEE,IEEE Conferences,[],"['weather data', 'fire data']",['Africa']
249,Multi-Pollutant Ground-level Air Pollution Prediction through Deep MeteoGCN-ConvLSTM,P. Muthukumar; S. Pathak; K. Nagrecha; H. Hosseini; D. Comer; N. Amini; J. Holm; M. Pourhomayoun,"Department of Computer Science, California State University Los Angeles, Los Angeles, CA; Department of Computer Science, California State University Los Angeles, Los Angeles, CA; Department of Computer Science, California State University Los Angeles, Los Angeles, CA; Department of Computer Science, California State University Los Angeles, Los Angeles, CA; City of Los Angeles, Los Angeles, CA; Department of Computer Science, California State University Los Angeles, Los Angeles, CA; City of Los Angeles, Los Angeles, CA; Department of Computer Science, California State University Los Angeles, Los Angeles, CA",2022 International Conference on Computational Science and Computational Intelligence (CSCI),25-Aug-23,2022,,,26,34,"Air pollution is the fourth-largest threat to human health. The harmful effects of air pollutants have costed the global economy nearly $3 trillion. It is imperative that a solution for mitigating the harmful effects of the most pervasive ground-level air pollutants - Carbon Monoxide $(CO)$, Nitric Oxide $(NO)$, Nitrogen Dioxide $(NO_{2})$, Ozone $(O_{3})$, and particulate matter 2.5 $(PM2.5)$ - is implemented, especially in urban areas. Recent advances in deep learning such as the Convolutional Long Short Term Memory (ConvLSTM) architecture are capable of learning complex spatiotemporal patterns with multisource data. We propose a novel sequential encoder-decoder ConvLSTM architecture capable of predicting hourly $CO, NO, NO_{2}, O_{3}$, and $PM2.5$ spatially continuously over Los Angeles. Our model utilizes multisource satellite imagery collected from the ESA Tropospheric Monitoring Instrument (TROPOMI), remote-sensing data collected by the NASA Moderate Resolution Imaging Spectroradiometer (MODIS) instrument onboard the NASA Terra+Aqua satellites, and site-monitoring sensor observations of atmospheric and ground-level air pollution, meteorological data, and wildfire data. Our results show that our MeteoGCN-ConvLSTM model is competitive with state-of-the-art approaches across all predicted air pollutants. Moreover, our results show the versatility of our model when provided with solely atmospheric satellite imagery and remote-sensing data as input.",2769-5654,979-8-3503-2028-2,10.1109/CSCI58124.2022.00012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10216524,spatiotemporal prediction;air pollution prediction;graph convolutional network;convolutional long short term memory;ground-level air pollution data;site monitoring stations,Atmospheric modeling;Fires;Predictive models;Air pollution;Data models;Carbon monoxide;Spatiotemporal phenomena,,2.0,,30.0,IEEE,25-Aug-23,,,IEEE,IEEE Conferences,"['machine learning', 'remote sensing']","['weather data', 'fire data']",['Global']
251,Wildfire Spread Prediction using Machine Learning Algorithms,A. Singh; R. Yadav; G. Sudhamshu; A. Basnet; R. Ali,"Dept. of Computer Science and Engineering, Faculty of Engineering and Technology, Jain (Deemed-To-Be) University, Bangalore, India; Dept. of Computer Science and Engineering, Faculty of Engineering and Technology, Jain (Deemed-To-Be) University, Bangalore, India; Dept. of Computer Science and Engineering, Faculty of Engineering and Technology, Jain (Deemed-To-Be) University, Bangalore, India; Dept. of Computer Science and Engineering, Faculty of Engineering and Technology, Jain (Deemed-To-Be) University, Bangalore, India; Dept. of Computer Science and Engineering, Faculty of Engineering and Technology, Jain (Deemed-To-Be) University, Bangalore, India",2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),23-Nov-23,2023,,,1,5,"Wildfires are one of the most destructive natural disasters that cause significant harm to both humans and the environment. Predicting their spread is critical for disaster management and preparedness. In this study, we have utilized machine learning algorithms, including Decision Tree Regression, XG Boost Regression, and Artificial Neural Networks, to predict the spread of wildfires using the Next Day Wildfire dataset. The dataset includes satellite images, weather, and geography conditions aggregated across the United States from 2012 to 2020. We preprocessed and engineered the dataset which includes the features such as elevation, wind direction and speed, temperature, humidity, precipitation, drought index, vegetation index, energy release component, and population density. We evaluated the models using the Root Mean Squared Error (RMSE) metric and found that the Decision Tree Regression algorithm performed the best with the lowest RMSE score. Our study highlights the potential of machine learning algorithms in predicting the spread of wildfires, which can aid in better disaster management and preparedness efforts.",2473-7674,979-8-3503-3509-5,10.1109/ICCCNT56998.2023.10308041,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308041,Wildfire spread prediction;machine learning;Decision Tree Regression;XG Boost Regression;artificial neural network;remotely sensed satellite images;weather features,Measurement;Machine learning algorithms;Computational modeling;Wind speed;Machine learning;Disaster management;Prediction algorithms,,2.0,,15.0,IEEE,23-Nov-23,,,IEEE,IEEE Conferences,"['machine learning', 'wireless sensor networks', 'remote sensing']","['weather data', 'fire data']",['USA']
252,Wireless Sensor Network for Wildfire Detection and Notification via Walkie – Talkie Network,V. Sittakul; S. Pasakawee; C. Jan-im,"Department of Electronics Engineering Technology, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; RF&Microwave Laboratory, National Institute of Metrology (Thailand), Bangkok, Thailand; Electrical Engineering, Chulachomklao Royal Military Academy, Bangkok, Thailand","2019 16th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)",13-Jan-20,2019,,,673,676,"This paper creates a wireless sensor network (WSN) to detect wildfire and send a voice warning via Walkie-Talkie Network. A WSN is created by commercial 900 MHz XBee modules composed of one server and two clients. Flame detector and temperature/humidity sensor are equipped to the clients via Arduino Nano 3.0 to sense the wildfire. The Arduino Nano 3.0 is used to convert analog signal from sensor to be digital signal and to connect with a mini MP3 module. The MP3 module is used to send a voice warning stored in Micro SD Card to Arduino UNO R3 towards a Walkie-Talkie. The human voice is recorded in the Micro SD Card plugged in mini MP3 Module and the Arduino sends the voice to the Walkie-Talkie at 144.5125-147.000 MHz. The frequency of Walkie-Talkie will be swept from 144.5125 to 147.000 MHz to ensure every Walkie-Talkies nearby receiving the voice warning at the same channel frequencies. The results show that the detected distances of flame detector at daytime and nighttime are 1 m and 10 m respectively and the detected distance of temperature/humidity sensor is 1 m. Finally, the coverage of each node can be measured up to 200 m at 900 MHz with the package loss around 30 to 100 packages at a distance of 200 m.",,978-1-7281-3361-4,10.1109/ECTI-CON47248.2019.8955180,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955180,Wireless Sensor Network;XBee;Arduino;Walkie-Talkie;Wildfire;Package Loss,,,2.0,,11.0,IEEE,13-Jan-20,,,IEEE,IEEE Conferences,['wireless sensor networks'],['weather data'],[]
253,A Variational Calculus Approach to Wildfire Monitoring Using a Low-Discrepancy Sequence-Based Deployment of Sensors,D. Georges,"GIPSA-lab, Univ. Grenoble Alpes, CNRS, Grenoble INP, Grenoble, France",2019 IEEE 58th Conference on Decision and Control (CDC),12-Mar-20,2019,,,5912,5917,"This paper deals with the estimation of the wildfire ignition location by using a variational approach, which, to the best of my knowledge, has never been proposed before. Wildfires are here modeled by using two balance equations for energy and fuel, where the fuel loss due to combustion is defined by the fuel reaction rate. The physical coefficients of the model, together with the initial fuel distribution, are here supposed to be known. The use of a small number of low cost temperature sensors constituting a sensor network distributed on the field according to a low-discrepancy sequence is investigated which provides some promising results for this estimation problem considered to be very difficult in the litterature.",2576-2370,978-1-7281-1398-2,10.1109/CDC40024.2019.9029962,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9029962,,Temperature sensors;Fuels;Temperature measurement;Estimation;Ignition;Mathematical model,,2.0,,11.0,IEEE,12-Mar-20,,,IEEE,IEEE Conferences,['wireless sensor networks'],['weather data'],[]
254,Measuring the Horizontal Wind for Forest Fire Monitoring Using Multiple UAVs,Z. W. Xing; Y. M. Zhang; C. Y. Su; Y. H. Qu,"Department of Mechanical, Concordia University, Montreal, Quebec, Canada; Department of Mechanical, Concordia University, Montreal, Quebec, Canada; School of Automation, Guangdong University of Technology, Guangzhou, China; School of Automation, Northwestern Polytechnical University, Xian, China",2019 Chinese Control Conference (CCC),17-Oct-19,2019,,,4945,4950,"An approach for estimating the horizontal wind based on a fleet of unmanned aerial vehicles (UAVs) is presented in this paper. Since the forest fire behavior is vulnerable to the wind environment, this methodology is considered to apply for forest fire monitoring. Also, the proposed method is especially suitable for measurements on the commercial UAVs platforms, due to its characteristic that estimating wind speed without additional meteorological and flow sensors. The method is derived from the wind triangle in the condition that the ground speeds of vehicles require to be constant. By circularly fitting and locating the center of the airspeed samplings in the Cartesian plane, the wind speed can be retrieved. A recursive least-squares (RLS) estimator is designed to estimate the wind speed with on-line measurements collected by the fleet of UAVs. The effectiveness of the algorithm is demonstrated in a simulation environment.",1934-1768,978-9-8815-6397-2,10.23919/ChiCC.2019.8865350,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8865350,Wind estimation;Unmanned aerial vehicles (UAVs);RLS estimator;Wildfire monitoring,Wind speed;Forestry;Monitoring;Estimation;Sensors;Atmospheric modeling;Time measurement,,2.0,,19.0,,17-Oct-19,,,IEEE,IEEE Conferences,['simulation'],['weather data'],[]
